"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87687","25","85550","2112"
"2","SAS Nagar","69003","57","67873","1073"
"3","Jalandhar","63522","33","61990","1499"
"4","Patiala","48987","16","47609","1362"
"5","Amritsar","47434","5","45830","1599"
"6","Bathinda","41801","23","40731","1047"
"7","Hoshiarpur","30964","54","29916","994"
"8","Gurdaspur","22410","8","21599","803"
"9","Fazilka","20282","1","19751","530"
"10","Pathankot","18972","34","18510","428"
"11","Muktsar","18803","3","18276","524"
"12","Kapurthala","17870","3","17311","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15611","2","15228","381"
"15","Ferozepur","14436","47","13885","504"
"16","Faridkot","13951","6","13626","319"
"17","Ropar","12992","11","12556","425"
"18","SBS Nagar","11472","0","11084","388"
"19","FG Sahib","8906","4","8566","336"
"20","Moga","8684","2","8448","234"
"21","Tarn Taran","8068","7","7680","381"
"22","Barnala","5955","6","5705","244"
"","Total","603578","350","586614","16614"
