"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","2","40669","27","40251","51","0","367","0"
"2","Ballari","9","115452","43","113524","168","0","1758","2"
"3","Belagavi","17","100054","12","98858","196","0","998","2"
"4","Bengaluru Rural","0","79262","5","78296","60","0","906","0"
"5","Bengaluru Urban","224","1778361","326","1757805","3648","11","16907","1"
"6","Bidar","2","29795","1","29364","8","1","419","4"
"7","Chamarajanagara","4","43596","6","42964","97","1","524","11"
"8","Chikkaballapura","4","55594","9","55009","125","0","459","1"
"9","Chikkamagaluru","2","57207","5","56738","63","0","406","0"
"10","Chitradurga","6","46173","7","45747","189","0","237","0"
"11","Dakshina 
Kannada","10","135393","12","133413","134","1","1836","10"
"12","Davanagere","1","57516","27","56846","48","0","622","0"
"13","Dharwada","7","84019","10","82586","56","0","1374","3"
"14","Gadag","0","30567","1","30226","6","0","335","0"
"15","Hassana","8","143823","20","142445","74","0","1302","2"
"16","Haveri","2","26827","2","26143","16","0","668","0"
"17","Kalaburagi","9","76543","53","75577","88","0","878","0"
"18","Kodagu","4","49214","26","48722","139","1","352","1"
"19","Kolara","1","62948","9","62248","36","0","664","0"
"20","Koppala","5","41268","3","40706","25","0","537","0"
"21","Mandya","2","101461","4","100704","54","0","703","0"
"22","Mysuru","17","229269","28","226447","267","0","2555","0"
"23","Raichuru","4","45440","4","45018","62","1","360","0"
"24","Ramanagara","1","29767","10","29390","31","0","346","0"
"25","Shivamogga","4","83221","22","81759","333","0","1128","1"
"26","Tumakuru","7","159721","79","158203","305","0","1213","0"
"27","Udupi","5","95555","12","94916","94","1","545","0"
"28","Uttara Kannada","5","71109","24","70251","50","0","808","0"
"29","Vijayapura","1","40986","3","40436","35","0","515","0"
"30","Yadagiri","3","29949","11","29708","30","0","211","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","366","3940795","801","3894333","6488","17","39936","38"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 27-02-2022 
 Page 5 of 8","","","","","","","","",""
