"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","22,828"
"2","Number of persons tested positive today in Tamil Nadu","6,939"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE - 7 
Nigeria - 1 
Germany - 1 
UK - 1 
Africa - 1"
"","Passengers returned from other states  by Domestic 
airport tested positive today","West Bengal - 1 
Delhi - 1 
Maharashtra - 1"
"","Passengers returned from other states / countries by 
Road tested positive today","Bangladesh - 12 
West Bengal - 7 
Karnataka - 6 
Bihar - 2 
Delhi - 1 
Andhra Pradesh - 1 
Jharkhand - 1"
"","Total","6,983"
"3","Total Number of persons tested positive till date","27,67,432"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,28,736/ 
5,81,03,351@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,28,496/ 
5,71,62,420"
"6","No. of Male / Female / Transgender tested positive today","4,058/2,925/0"
"7","No. of Male / Female / Transgender tested positive till date","16,15,430/11,51,964/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","321 (69 Govt+ 
252 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","721/ 
27,07,779"
"10","Total number of deaths today/ till date","11(7 Private &  
4 Govt) /36,825"
