,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-12-04,DL,Central Delhi,,,,,,,,2021-12-05 11:55:19.637918,,,,1441295,25098,1415875,31165273
1,1,2021-12-04,DL,East Delhi,,,,,,,,2021-12-05 11:55:19.637918,,,,1441295,25098,1415875,31165273
2,2,2021-12-04,DL,New Delhi,,,,,,,,2021-12-05 11:55:19.637918,,,,1441295,25098,1415875,31165273
3,3,2021-12-04,DL,North Delhi,,,,,,,,2021-12-05 11:55:19.637918,,,,1441295,25098,1415875,31165273
4,4,2021-12-04,DL,North East Delhi,,,,,,,,2021-12-05 11:55:19.637918,,,,1441295,25098,1415875,31165273
5,5,2021-12-04,DL,North West Delhi,,,,,,,,2021-12-05 11:55:19.637918,,,,1441295,25098,1415875,31165273
6,6,2021-12-04,DL,Shahdara,,,,,,,,2021-12-05 11:55:19.637918,,,,1441295,25098,1415875,31165273
7,7,2021-12-04,DL,South Delhi,,,,,,,,2021-12-05 11:55:19.637918,,,,1441295,25098,1415875,31165273
8,8,2021-12-04,DL,South East Delhi,,,,,,,,2021-12-05 11:55:19.637918,,,,1441295,25098,1415875,31165273
9,9,2021-12-04,DL,South West Delhi,,,,,,,,2021-12-05 11:55:19.637918,,,,1441295,25098,1415875,31165273
10,10,2021-12-04,DL,West Delhi,,,,,,,,2021-12-05 11:55:19.637918,,,,1441295,25098,1415875,31165273
11,11,2021-12-04,DL,Unknown,,,,1441295.0,25098.0,1415875.0,,2021-12-05 11:55:19.637918,,,,1441295,25098,1415875,31165273
