,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-12-24,DL,Central Delhi,,,,,,,,2021-12-25 11:46:52.647657,,,,1442813,25103,1416928,32289000
1,1,2021-12-24,DL,East Delhi,,,,,,,,2021-12-25 11:46:52.647657,,,,1442813,25103,1416928,32289000
2,2,2021-12-24,DL,New Delhi,,,,,,,,2021-12-25 11:46:52.647657,,,,1442813,25103,1416928,32289000
3,3,2021-12-24,DL,North Delhi,,,,,,,,2021-12-25 11:46:52.647657,,,,1442813,25103,1416928,32289000
4,4,2021-12-24,DL,North East Delhi,,,,,,,,2021-12-25 11:46:52.647657,,,,1442813,25103,1416928,32289000
5,5,2021-12-24,DL,North West Delhi,,,,,,,,2021-12-25 11:46:52.647657,,,,1442813,25103,1416928,32289000
6,6,2021-12-24,DL,Shahdara,,,,,,,,2021-12-25 11:46:52.647657,,,,1442813,25103,1416928,32289000
7,7,2021-12-24,DL,South Delhi,,,,,,,,2021-12-25 11:46:52.647657,,,,1442813,25103,1416928,32289000
8,8,2021-12-24,DL,South East Delhi,,,,,,,,2021-12-25 11:46:52.647657,,,,1442813,25103,1416928,32289000
9,9,2021-12-24,DL,South West Delhi,,,,,,,,2021-12-25 11:46:52.647657,,,,1442813,25103,1416928,32289000
10,10,2021-12-24,DL,West Delhi,,,,,,,,2021-12-25 11:46:52.647657,,,,1442813,25103,1416928,32289000
11,11,2021-12-24,DL,Unknown,,,,1442813.0,25103.0,1416928.0,,2021-12-25 11:46:52.647657,,,,1442813,25103,1416928,32289000
