"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","79","111","933"
"Kollam","31","98","92"
"Pathanamthitta","13","38","156"
"Alappuzha","18","42","30"
"Kottayam","68","117","880"
"Idukki","33","68","542"
"Ernakulam","117","146","1313"
"Thrissur","30","58","417"
"Palakkad","12","20","35"
"Malappuram","17","33","251"
"Kozhikode","45","53","475"
"Wayanad","13","21","203"
"Kannur","15","36","82"
"Kasaragod","4","9","24"
"Total","495","850","5433"
