"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","2366","1087326","2","19578"
"2","Thane","71","118589","0","2289"
"3","TMC","374","192840","0","2164"
"4","Navi Mumbai","383","170047","0","2090"
"5","KDMC","86","176865","0","2974"
"6","Ulhasnagar MC","2","26601","0","680"
"7","Bhivandi Nijampur MC","5","13177","0","496"
"8","Mira Bhayandar MC","81","77473","0","1227"
"9","Palghar","19","64793","0","1244"
