"Sr. No.","District/Municipal 
Corporation","COVID-19 cases","Recovered 
patients","Deaths","Active cases"
"5","Ratnagiri","84525","81937","2546","42"
"6","Sindhudurg","57215","55645","1533","37"
"7","Pune","1457577","1435579","20545","1453"
"8","Satara","278257","271525","6716","16"
"9","Sangli","227102","221424","5666","12"
"10","Kolhapur","220514","214598","5904","12"
"11","Solapur","227106","221210","5879","17"
"12","Nashik","473092","464073","8911","108"
"13","Ahmednagar","377815","370523","7242","50"
"14","Jalgaon","149579","146801","2761","17"
"15","Nandurbar","46618","45656","962","0"
"16","Dhule","50787","50109","670","8"
"17","Aurangabad","176608","172300","4284","24"
"18","Jalna","66336","65109","1224","3"
"19","Beed","109225","106337","2885","3"
"20","Latur","104968","102438","2489","41"
"21","Parbhani","58583","57298","1279","6"
"22","Hingoli","22186","21665","514","7"
"23","Nanded","102692","99977","2704","11"
"24","Osmanabad","75179","73034","2139","6"
"25","Amravati","105987","104346","1624","17"
"26","Akola","66212","64717","1470","25"
"27","Washim","45678","45015","641","22"
"28","Buldhana","92041","91199","836","6"
