"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19883","19609","7","267"
"2","Chengalpattu","235201","232207","337","2657"
"3","Chennai","750346","740481","800","9065"
"4","Coimbatore","329719","326672","432","2615"
"5","Cuddalore","74223","73278","52","893"
"6","Dharmapuri","36171","35870","18","283"
"7","Dindigul","37468","36781","22","665"
"8","Erode","132638","131799","105","734"
"9","Kallakurichi","36514","36291","8","215"
"10","Kancheepuram","94338","92931","105","1302"
"11","Kanyakumari","86180","85017","78","1085"
"12","Karur","29748","29357","19","372"
"13","Krishnagiri","59609","59190","49","370"
"14","Madurai","91013","89746","31","1236"
"15","Mayiladuthurai","26494","26163","2","329"
"16","Nagapattinam","25435","25041","19","375"
"17","Namakkal","67986","67390","62","534"
"18","Nilgiris","42053","41685","142","226"
"19","Perambalur","14457","14204","4","249"
"20","Pudukottai","34454","34014","14","426"
"21","Ramanathapuram","24660","24280","12","368"
"22","Ranipet","53909","53102","20","787"
"23","Salem","127333","125469","102","1762"
"24","Sivagangai","23803","23541","43","219"
"25","Tenkasi","32736","32239","7","490"
"26","Thanjavur","92095","91001","55","1039"
"27","Theni","50590","50052","6","532"
"28","Thirupathur","35724","35084","7","633"
"29","Thiruvallur","147389","145312","138","1939"
"30","Thiruvannamalai","66790","66078","28","684"
"31","Thiruvarur","48002","47511","19","472"
"32","Thoothukudi","64938","64466","25","447"
"33","Tirunelveli","62743","62266","32","445"
"34","Tiruppur","129872","128714","106","1052"
"35","Trichy","94910","93654","96","1160"
"36","Vellore","57233","55992","78","1163"
"37","Villupuram","54577","54192","19","366"
"38","Virudhunagar","56807","56224","29","554"
"39","Airport Surveillance 
(International)","1244","1240","3","1"
"40","Airport Surveillance 
(Domestic)","1104","1103","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,50,817","34,09,674","3,131","38,012"
