"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","3,131"
"2","Number of persons tested positive today in Tamil Nadu","222"
"","Passengers returned from other countries  by 
International airport tested positive today","Malaysia - 1"
"","Total","223"
"3","Total Number of persons tested positive till date","34,50,817"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","51,796/ 
6,46,60,933@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","51,597/ 
6,34,86,036"
"6","No. of Male / Female / Transgender tested positive today","128/95/0"
"7","No. of Male / Female / Transgender tested positive till date","20,14,110/14,36,669/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","333 (69 Govt+ 
264 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","596/ 
34,09,674"
"10","Total number of deaths today/ till date","1(0 Private &  
1 Govt) /38,012"
