"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","1240","4565","17611"
"Kollam","879","1466","16548"
"Pathanamthitta","330","585","6478"
"Alappuzha","558","1650","8168"
"Kottayam","743","2694","16270"
"Idukki","412","1436","8840"
"Ernakulam","1608","3056","24413"
"Thrissur","625","2604","11979"
"Palakkad","386","1213","5240"
"Malappuram","443","1586","8874"
"Kozhikode","828","1591","9292"
"Wayanad","205","807","4210"
"Kannur","562","1031","4950"
"Kasaragod","170","473","1511"
"Total","8989","24757","144384"
