"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","35178","0","34843","2","0","333","0"
"2","Ballari","0","97763","2","95961","113","0","1689","0"
"3","Belagavi","6","79900","1","78879","83","0","938","0"
"4","Bengaluru Rural","3","62005","3","61073","42","0","890","0"
"5","Bengaluru Urban","137","1251872","204","1229059","6531","7","16281","1"
"6","Bidar","0","24340","0","23936","0","0","400","4"
"7","Chamarajanagara","0","33001","4","32469","21","0","500","11"
"8","Chikkaballapura","2","43951","0","43501","20","1","429","1"
"9","Chikkamagaluru","3","51126","4","50662","69","0","395","0"
"10","Chitradurga","3","36666","3","36412","48","0","206","0"
"11","Dakshina 
Kannada","24","115478","20","113515","276","0","1680","7"
"12","Davanagere","2","50989","1","50359","22","0","608","0"
"13","Dharwada","0","60970","3","59639","14","1","1315","2"
"14","Gadag","0","26066","0","25747","0","0","319","0"
"15","Hassana","26","111785","28","110294","233","0","1256","2"
"16","Haveri","1","21947","1","21301","2","0","644","0"
"17","Kalaburagi","3","61926","0","61087","20","0","819","0"
"18","Kodagu","11","37095","7","36616","149","0","329","1"
"19","Kolara","2","46916","5","46266","12","0","638","0"
"20","Koppala","0","35198","0","34660","17","0","521","0"
"21","Mandya","8","73753","2","73029","74","0","650","0"
"22","Mysuru","33","179167","34","176447","304","2","2416","0"
"23","Raichuru","0","39973","1","39641","1","0","331","0"
"24","Ramanagara","0","24204","0","23869","15","0","320","0"
"25","Shivamogga","3","69444","0","68239","117","0","1088","0"
"26","Tumakuru","17","120836","12","119420","289","0","1127","0"
"27","Udupi","2","76718","6","76181","48","0","489","0"
"28","Uttara Kannada","6","56218","4","55339","113","0","766","0"
"29","Vijayapura","0","36267","0","35764","8","0","495","0"
"30","Yadagiri","0","27545","0","27337","1","0","207","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","292","2988333","345","2941578","8644","11","38082","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 31-10-2021 
 Page 5 of 8","","","","","","","","",""
