"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 11-05-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"","1  Gurugram","279","1401","270741","268333 [567]","99.11","1007 [1]","404","1263","2927","5261216"
"2","Faridabad","69","565","129027","127721 [61]","98.99","741","327","1168","933","3992545"
"3  Hisar","","4","11","62083","60897","98.09","1175","92","358","123","2331298"
"4","Sonipat","1","7","58689","58406 [3]","99.52","276","133","317","279","2260834"
"5","Karnal","3","19","48233","47618 [3]","98.72","596","441","456","263","2370308"
"6","Panchkula","4","23","44243","43806 [8]","99.01","414","41","276","285","1102775"
"7  Ambala","","2","5","40790","40243 [1]","98.66","542","151","332","670","2103492"
"8","Panipat","4","14","36082","35396 [1]","98.10","672","33","174","243","2034313"
"9","Sirsa","0","1","33382","32842","98.38","539","154","372","64","1920306"
"10  Rohtak","","5","24","31917","31339 [2]","98.19","537","106","309","140","1682658"
"","11  Yamunanagar","1","7","30678","30216 [3]","98.49","455","224","718","343","1921326"
"","12  Kurukshetra","2","7","26849","26444 [1]","98.49","398","139","483","204","1523939"
"13  Bhiwani","","0","12","26512","25835 [2]","97.45","665","445","397","202","1743222"
"","14  Mahendragarh","0","0","24754","24589","99.33","165","57","320","406","1365769"
"15  Rewari","","0","6","24607","24377","99.07","224","57","318","778","1549998"
"16  Jind","","0","3","24355","23810","97.76","542","574","545","68","1701094"
"17  Jhajjar","","6","9","23473","23108 [5]","98.45","350","428","391","265","1562596"
"18  Fatehabad","","0","2","20066","19566","97.51","498","15","40","18","1190336"
"19  Kaithal","","2","3","14240","13866","97.37","371","397","1036","209","1730155"
"20  Palwal","","1","4","13490","13316 [1]","98.71","170","244","236","116","1518823"
"","21  Charkhi Dadri","0","5","7438","7288","97.98","145","23","157","513","878084"
"22  Nuh","","0","2","6110","5969","97.69","139","7","30","31","1220512"
"Haryana","","383","2130","997759","984985 [658]","98.72","10621 [1]","4492","9696","9080","42965599"
