"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","291","36549","68","35425","786","0","338","0"
"2","Ballari","817","106386","937","99043","5653","0","1690","0"
"3","Belagavi","625","86427","281","80643","4829","1","955","0"
"4","Bengaluru Rural","1607","73105","619","64601","7607","1","897","0"
"5","Bengaluru Urban","21569","1607226","27008","1364333","226385","9","16507","1"
"6","Bidar","284","27237","180","25080","1747","0","406","4"
"7","Chamarajanagara","656","37163","144","33552","3093","0","507","11"
"8","Chikkaballapura","905","50466","182","44703","5324","0","438","1"
"9","Chikkamagaluru","144","54502","235","52211","1893","0","398","0"
"10","Chitradurga","642","40952","309","37477","3261","0","214","0"
"11","Dakshina 
Kannada","655","128379","825","121201","5455","3","1716","7"
"12","Davanagere","467","54555","289","51786","2160","0","609","0"
"13","Dharwada","1407","70907","449","64507","5069","0","1329","2"
"14","Gadag","257","28420","96","26379","1718","1","323","0"
"15","Hassana","1908","131656","1738","118951","11433","1","1270","2"
"16","Haveri","304","23034","100","21635","752","2","647","0"
"17","Kalaburagi","379","69885","579","63820","5228","2","837","0"
"18","Kodagu","657","41887","422","38784","2763","0","339","1"
"19","Kolara","661","55338","482","50064","4630","0","644","0"
"20","Koppala","525","37727","194","35226","1973","0","528","0"
"21","Mandya","1837","89260","1286","80337","8261","1","662","0"
"22","Mysuru","4105","207135","1703","185834","18846","3","2455","0"
"23","Raichuru","281","42801","179","40490","1974","1","337","0"
"24","Ramanagara","288","27527","189","25187","2011","1","329","0"
"25","Shivamogga","537","75176","404","70243","3836","1","1096","1"
"26","Tumakuru","2960","143552","738","127269","15128","1","1155","0"
"27","Udupi","677","87305","1502","81089","5718","3","498","0"
"28","Uttara Kannada","626","62802","406","59078","2941","1","783","0"
"29","Vijayapura","270","38378","141","36516","1364","0","498","0"
"30","Yadagiri","85","28335","18","27480","649","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","46426","3564108","41703","3162977","362487","32","38614","30"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 24-01-2022 
 Page 5 of 84","","","","","","","","",""
