"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 07-08-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"","1  Gurugram","406","1661","290826","288152[278]","99.08","1013","11","32","1508","5614342"
"2","Faridabad","89","535","133685","132409[43]","99.05","741","14","39","203","4146301"
"3","Hisar","21","162","63108","61770[10]","97.88","1176","27","51","58","2406724"
"4","Sonipat","10","80","59171","58815[7]","99.40","276","20","60","191","2335364"
"5","Karnal","23","238","49538","48701[42]","98.31","599","10","26","46","2440787"
"6","Panchkula","73","379","47344","46547[88]","98.32","418","37","62","296","1166439"
"7","Ambala","29","322","42209","41345[55]","97.95","542","4","4","153","2190343"
"8","Panipat","5","76","36482","35731[3]","97.94","675[1]","6","46","72","2108701"
"9","Sirsa","9","55","33912","33317[1]","98.25","540","0","1","0","1971820"
"10  Rohtak","","15","129","32657","31974[46]","97.91","537","2","9","64","1789116"
"","11  Yamunanagar","65","206","31779","31116[38]","97.91","457","0","0","3","2015615"
"","12  Kurukshetra","14","143","27532","26988[11]","98.02","401","0","80","5","1606647"
"13  Bhiwani","","18","59","26857","26133[16]","97.30","665","2","182","34","1860467"
"","14  Mahendragarh","6","53","24904","24686","99.12","165","0","8","16","1430164"
"15","Jind","35","155","24995","24298[18]","97.21","542","0","13","56","1762940"
"16  Rewari","","0","11","24783","24548","99.05","224","1","0","3","1614116"
"17","Jhajjar","13","54","23772","23360[13]","98.27","352","2","5","20","1618814"
"18  Fatehabad","","0","30","20192","19664","97.39","498","4","8","44","1205092"
"19  Kaithal","","6","218","14874","14284[2]","96.03","372","0","1","107","1849449"
"20  Palwal","","1","17","13567","13379","98.61","171","8","16","19","1565336"
"21","Charkhi Dadri","25","75","7640","7420[3]","97.12","145","0","3","23","935836"
"22  Nuh","","0","4","6147","6004","97.67","139","1","0","1","1226186"
"Haryana","","863","4662","1035974","1020641[674]","98.52","10648[1]","148","646","2922","44860599"
