"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","72","159","68304","8","4801","73099","0"
"Bageshwar","68","69","38001","1","2153","40150","12"
"Chamoli","34","17","50878","8","3327","54203","13"
"Champawat","65","34","64395","1","1975","66367","0"
"Dehradun","619","589","403084","85","37966","440915","49"
"Haridwar","242","282","320522","13","13907","334399","23"
"Nainital","296","245","100745","68","12700","113375","52"
"Pauri Garhwal","196","191","104393","12","5532","109918","6"
"Pithoragarh","34","18","43989","10","2659","46636","0"
"Rudraprayag","70","15","29959","0","2956","32915","4"
"Tehri Garhwal","236","182","44678","1","2586","47257","5"
"US Nagar","603","483","149669","9","9205","158850","21"
"Uttarkashi","62","5","46199","0","1876","48073","7"
"Total","2597","2289","1464816","216","101643","1566157","192"
