"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19883","19616","0","267"
"2","Chengalpattu","235425","232729","38","2658"
"3","Chennai","751069","741871","130","9068"
"4","Coimbatore","329925","327286","22","2617"
"5","Cuddalore","74250","73351","4","895"
"6","Dharmapuri","36191","35908","0","283"
"7","Dindigul","37478","36812","1","665"
"8","Erode","132667","131932","1","734"
"9","Kallakurichi","36521","36306","0","215"
"10","Kancheepuram","94389","93075","12","1302"
"11","Kanyakumari","86217","85123","9","1085"
"12","Karur","29752","29380","0","372"
"13","Krishnagiri","59631","59258","3","370"
"14","Madurai","91029","89792","1","1236"
"15","Mayiladuthurai","26496","26166","0","330"
"16","Nagapattinam","25441","25065","1","375"
"17","Namakkal","68003","67467","2","534"
"18","Nilgiris","42127","41889","12","226"
"19","Perambalur","14461","14212","0","249"
"20","Pudukottai","34466","34037","3","426"
"21","Ramanathapuram","24675","24306","1","368"
"22","Ranipet","53919","53130","2","787"
"23","Salem","127366","125600","4","1762"
"24","Sivagangai","23826","23603","4","219"
"25","Tenkasi","32745","32254","1","490"
"26","Thanjavur","92148","91097","12","1039"
"27","Theni","50601","50066","2","533"
"28","Thirupathur","35734","35101","0","633"
"29","Thiruvallur","147448","145499","10","1939"
"30","Thiruvannamalai","66810","66124","1","685"
"31","Thiruvarur","48011","47538","1","472"
"32","Thoothukudi","64952","64502","2","448"
"33","Tirunelveli","62765","62317","3","445"
"34","Tiruppur","129928","128870","6","1052"
"35","Trichy","94944","93775","8","1161"
"36","Vellore","57301","56123","15","1163"
"37","Villupuram","54583","54214","3","366"
"38","Virudhunagar","56833","56275","4","554"
"39","Airport Surveillance 
(International)","1248","1243","4","1"
"40","Airport Surveillance 
(Domestic)","1104","1103","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,52,790","34,14,443","322","38,025"
