"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
21-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","23","181996","180958[10]","99.43","926","112","1928","9582","4137506"
"2","Faridabad","6","100036","99284[5]","99.25","717","35","2286","9550","2959509"
"3","Hisar","0","54002","52865","97.89","1137","0","2820","11810","1606220"
"4","Sonepat","0","47146","46891","99.46","254","1","1416","6539","1667657"
"5","Karnal","3","40067","39497","98.58","554","16","1361","8077","1725913"
"6","Panipat","0","31158","30517","97.94","638","3","1835","7792","1423917"
"7","Panchkula","8","30913","30490","98.63","381","42","410","2628","844869"
"8","Ambala","0","30156","29646[1]","98.31","509","1","799","7237","1727294"
"9","Sirsa","1","29303","28788","98.24","509[1]","6","2426","9684","1346706"
"10","Rohtak","0","25923","25370[1]","97.87","534","2","1214","4321","1194743"
"11","Yamunanagar","1","24663","24241","98.29","414","8","763","7091","1365277"
"12","Bhiwani","0","22411","21758","97.09","652","1","703","7361","1354569"
"13","Kurukshetra","0","22162","21803","98.38","357","2","1183","5338","1039929"
"14","Mahindergarh","0","21689","21534","99.29","155","0","537","4551","1004035"
"15","Jind","0","21210","20677","97.49","533","0","4140","8787","1212202"
"16","Rewari","0","20330","20108","98.91","221","1","649","3859","1177024"
"17","Jhajjar","1","18851","18516","98.22","328","1","938","4685","1177272"
"18","Fatehabad","0","17880","17398","97.30","482","0","601","4015","899277"
"19","Kaithal","0","11251","10903","96.91","346","2","11200","23082","1138204"
"20","Palwal","0","11031","10877","98.60","153","1","1612","5178","1081443"
"21","Charkhi Dadri","0","5079","4940","97.26","139","0","259","801","696734"
"22","Nuh","0","5014","4891","97.55","123","0","2182","4688","797253"
"Haryana","","43","772271","761952[17]","98.66","10062[1]","234","41262","156656","31577553"
