"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","2,11,270"
"2","Number of persons tested positive today in Tamil Nadu","30,039"
"","Passengers returned from other countries  by 
International airport tested positive today","Sri Lanka - 2 
Norway - 1 
UAE - 1"
"","Passengers returned from other states by Road tested 
positive today","Andhra Pradesh - 6 
Karnataka - 2 
West Bengal - 2 
Puducherry - 1 
Kerala - 1"
"","Total","30,055"
"3","Total Number of persons tested positive till date","31,94,260"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,48,469/ 
6,09,03,180@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,40,062/ 
5,98,82,950"
"6","No. of Male / Female / Transgender tested positive today","17,468/12,587/0"
"7","No. of Male / Female / Transgender tested positive till date","18,63,666/13,30,556/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","331 (69 Govt+ 
262$ Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","25,221/ 
29,45,678"
"10","Total number of deaths today/ till date","48(26 Private &  
22 Govt) /37,312"
