,Unnamed: 0,44,Unnamed: 1,देवररया,Unnamed: 2,37,Unnamed: 3,132,Unnamed: 4,20547,Unnamed: 5,0,Unnamed: 6,225,Unnamed: 7,537,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,पीलीभीत,,83.0,,39.0,,11120.0,,0.0,,194.0,,529.0,,,,,
1,,46,,ससद्धाथ ुनगर,,100.0,,90.0,,9742.0,,0.0,,101.0,,527.0,,,,,
2,,47,,चदंौली,,5.0,,15.0,,16498.0,,0.0,,363.0,,516.0,,,,,
3,,48,,कन्नौज,,81.0,,17.0,,9367.0,,0.0,,116.0,,509.0,,,,,
4,,49,,आजमगढ़,,64.0,,50.0,,18085.0,,2.0,,231.0,,482.0,,,,,
5,,50,,लसलतपरु,,88.0,,46.0,,12911.0,,0.0,,130.0,,478.0,,,,,
6,,51,,बस्ती,,23.0,,46.0,,11928.0,,0.0,,331.0,,437.0,,,,,
7,,52,,मनैपरुी,,31.0,,42.0,,10729.0,,1.0,,186.0,,423.0,,,,,
8,,53,,बागपत,,42.0,,108.0,,10204.0,,0.0,,144.0,,420.0,,,,,
9,,54,,उन्नाव,,111.0,,70.0,,15247.0,,0.0,,254.0,,402.0,,,,,
10,,55,,बसलया,,31.0,,72.0,,21679.0,,0.0,,238.0,,373.0,,,,,
11,,56,,महाराजगजं,,70.0,,13.0,,12741.0,,0.0,,142.0,,366.0,,,,,
12,,57,,फतहेपरु,,83.0,,39.0,,6882.0,,0.0,,139.0,,331.0,,,,,
13,,58,,भदोही,,51.0,,4.0,,7659.0,,0.0,,164.0,,281.0,,,,,
14,,59,,श्रावस्ती,,38.0,,20.0,,4535.0,,0.0,,37.0,,272.0,,,,,
15,,60,,अम्बडेकर नगर,,22.0,,26.0,,5157.0,,0.0,,154.0,,270.0,,,,,
16,,61,,समर्ाुपरु,,15.0,,24.0,,11392.0,,1.0,,118.0,,260.0,,,,,
17,,62,,बादा,,39.0,,18.0,,11062.0,,0.0,,161.0,,251.0,,,,,
18,,63,,बलरामपरु,,41.0,,12.0,,7573.0,,0.0,,138.0,,246.0,,,,,
19,,64,,कानपरु देहात,,27.0,,16.0,,6269.0,,0.0,,110.0,,244.0,,,,,
20,,65,,कुशीनगर,,35.0,,17.0,,15530.0,,0.0,,228.0,,240.0,,,,,
21,,66,,सतं कबीर नगर,,9.0,,15.0,,8231.0,,0.0,,98.0,,236.0,,,,,
22,,67,,औरैय्या,,22.0,,7.0,,10194.0,,0.0,,205.0,,229.0,,,,,
23,,68,,प्रतापगढ़,,39.0,,11.0,,16020.0,,0.0,,164.0,,213.0,,,,,
24,,69,,हाथरस,,5.0,,9.0,,3406.0,,0.0,,43.0,,208.0,,,,,
25,,70,,मऊ,,30.0,,27.0,,8449.0,,0.0,,81.0,,195.0,,,,,
26,,71,,चचत्रकट,,21.0,,14.0,,7158.0,,0.0,,79.0,,190.0,,,,,
27,,72,,हमीरपरु,,34.0,,17.0,,5282.0,,0.0,,102.0,,170.0,,,,,
28,,73,,कासगजं,,39.0,,66.0,,4574.0,,0.0,,53.0,,119.0,,,,,
29,,74,,कौशाम्बी,,10.0,,1.0,,4400.0,,0.0,,71.0,,99.0,,,,,
30,,75,,महोबा,,10.0,,8.0,,4229.0,,0.0,,86.0,,60.0,,,,,
31,,Total,,,,,,,11159.0,,10836.0,,1840842.0,,17.0,,23073.0,,93924.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23073 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
