District,Recovered,Deceased,Active
देवररया,20547,225,537
पीलीभीत,11120.0,194.0,529.0
ससद्धाथ ुनगर,9742.0,101.0,527.0
चदंौली,16498.0,363.0,516.0
कन्नौज,9367.0,116.0,509.0
आजमगढ़,18085.0,231.0,482.0
लसलतपरु,12911.0,130.0,478.0
बस्ती,11928.0,331.0,437.0
मनैपरुी,10729.0,186.0,423.0
बागपत,10204.0,144.0,420.0
उन्नाव,15247.0,254.0,402.0
बसलया,21679.0,238.0,373.0
महाराजगजं,12741.0,142.0,366.0
फतहेपरु,6882.0,139.0,331.0
भदोही,7659.0,164.0,281.0
श्रावस्ती,4535.0,37.0,272.0
अम्बडेकर नगर,5157.0,154.0,270.0
समर्ाुपरु,11392.0,118.0,260.0
बादा,11062.0,161.0,251.0
बलरामपरु,7573.0,138.0,246.0
कानपरु देहात,6269.0,110.0,244.0
कुशीनगर,15530.0,228.0,240.0
सतं कबीर नगर,8231.0,98.0,236.0
औरैय्या,10194.0,205.0,229.0
प्रतापगढ़,16020.0,164.0,213.0
हाथरस,3406.0,43.0,208.0
मऊ,8449.0,81.0,195.0
चचत्रकट,7158.0,79.0,190.0
हमीरपरु,5282.0,102.0,170.0
कासगजं,4574.0,53.0,119.0
कौशाम्बी,4400.0,71.0,99.0
महोबा,4229.0,86.0,60.0
