"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
23-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","7","181652","180654[12]","99.45","924","74","2528","9383","3784371"
"2","Faridabad","3","99923","99200[1]","99.28","716","7","2565","7834","2661869"
"3","Hisar","0","53996","52860","97.90","1136","0","1091","4760","1397416"
"4","Sonepat","0","47139","46885","99.46","254","0","1198","4912","1495461"
"5","Karnal","0","40040","39487","98.62","552","1","1459","4814","1544056"
"6","Panipat","0","31153","30515","97.95","638","0","2057","4819","1208440"
"7","Panchkula","7","30811","30409[2]","98.70","379","23","286","2135","782183"
"8","Ambala","0","30150","29641","98.31","509","0","799","6058","1538438"
"9","Sirsa","0","29283","28774","98.26","508","1","1608","4566","1155835"
"10","Rohtak","0","25915","25362","97.87","534","2","1504","3947","1058784"
"11","Yamunanagar","0","24637","24221","98.31","414","2","540","4164","1223896"
"12","Bhiwani","0","22409","21757","97.09","652","0","1169","7005","1168086"
"13","Kurukshetra","0","22152","21793","98.38","357","2","838","3830","909934"
"14","Mahindergarh","0","21689","21534","99.29","155","0","818","3074","907970"
"15","Jind","0","21210","20676","97.48","533","1","1402","3952","1032838"
"16","Rewari","0","20329","20108","98.91","221","0","1261","4519","1013930"
"17","Jhajjar","0","18850","18516","98.23","328","0","797","4266","1062722"
"18","Fatehabad","0","17880","17395","97.29","482","3","775","2860","815349"
"19","Kaithal","0","11246","10899","96.91","346","1","1220","7764","921910"
"20","Palwal","0","11026","10873","98.61","153","0","3071","4907","908898"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","207","1001","653496"
"22","Nuh","0","5014","4891","97.55","123","0","15320","2076","592609"
"Total","","17","771582","761389[15]","98.68","10053","117","42513","102646","27838491"
