"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109312","777","106283","2252"
"2","SAS Nagar","94858","1052","92669","1137"
"3","Jalandhar","77750","726","75461","1563"
"4","Patiala","61830","171","60203","1456"
"5","Amritsar","59035","296","57063","1676"
"6","Bathinda","50547","345","49122","1080"
"7","Hoshiarpur","40448","442","38928","1078"
"8","Gurdaspur","26794","162","25774","858"
"9","Pathankot","24179","210","23489","480"
"10","Fazilka","23108","938","21626","544"
"11","Muktsar","22375","216","21624","535"
"12","Kapurthala","21846","161","21110","575"
"13","Sangrur","18247","57","17283","907"
"14","Ropar","17807","209","17151","447"
"15","Ferozepur","17710","113","17069","528"
"16","Mansa","17202","68","16743","391"
"17","Faridkot","16536","113","16089","334"
"18","SBS Nagar","13338","45","12892","401"
"19","FG Sahib","11779","64","11362","353"
"20","Moga","10898","153","10493","252"
"21","Tarn Taran","10783","226","10167","390"
"22","Barnala","7407","72","7048","287"
"","Total","753789","6616","729649","17524"
