"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","5002","8954","43673"
"Kollam","3714","2373","33636"
"Pathanamthitta","2069","2472","13258"
"Alappuzha","2610","2205","20892"
"Kottayam","3399","4115","27614"
"Idukki","1442","1713","18666"
"Ernakulam","6398","2676","67782"
"Thrissur","3426","1034","41421"
"Palakkad","1792","3314","21120"
"Malappuram","2616","2719","22659"
"Kozhikode","2469","4915","26608"
"Wayanad","1202","1346","10588"
"Kannur","1814","2314","13403"
"Kasaragod","731","887","4800"
"Total","38684","41037","366120"
