"Districts","No. of Positive 
Cases Since 
01.01.2022","No. of Positive Cases 
Treated/ Cured Since 
01.01.2022","Active Cases in the 
District","Deaths Since 
01.01.2022","Migrated Positive 
Cases Since 
01.01.2022"
"Almora","4493","4103","8","4","378"
"Bageshwar","2087","2000","1","0","86"
"Chamoli","3194","3072","13","3","106"
"Champawat","1901","1858","22","1","20"
"Dehradun","32773","32148","90","172","363"
"Haridwar","12962","12653","51","24","234"
"Nainital","11291","11201","24","29","37"
"Pauri Garhwal","5253","4236","31","18","968"
"Pithoragarh","2556","2381","37","4","134"
"Rudraprayag","2698","2567","3","2","126"
"Tehri Garhwal","2348","2017","2","5","324"
"U.S. Nagar","8777","8474","32","5","266"
"Uttarkashi","1636","1461","2","5","168"
"Total","91969","88171","316","272","3210"
