"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
21-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","9","181633","180628[6]","99.45","924","81","998","4157","3760258"
"2","Faridabad","1","99919","99196","99.28","716","7","1299","3839","2639794"
"3","Hisar","0","53996","52860","97.90","1136","0","299","1327","1386692"
"4","Sonepat","0","47139","46885","99.46","254","0","665","2519","1482803"
"5","Karnal","0","40040","39487","98.62","552","1","140","467","1531332"
"6","Panipat","0","31153","30513","97.95","638","2","1420","3905","1195461"
"7","Panchkula","4","30797","30405[2]","98.73","379","13","68","398","777660"
"8","Ambala","0","30150","29641","98.31","509","0","145","1102","1525838"
"9","Sirsa","0","29283","28774","98.26","508","1","738","1564","1144384"
"10","Rohtak","0","25915","25362","97.87","534","2","514","1194","1047617"
"11","Yamunanagar","0","24637","24221","98.31","414","2","47","360","1215442"
"12","Bhiwani","0","22409","21757","97.09","652","0","319","2464","1153502"
"13","Kurukshetra","0","22151","21793","98.38","357","1","122","561","901201"
"14","Mahindergarh","0","21689","21534","99.29","155","0","338","1379","900089"
"15","Jind","0","21210","20676","97.48","533","1","441","680","1022352"
"16","Rewari","0","20329","20108","98.91","221","0","702","2687","1001703"
"17","Jhajjar","0","18850","18515","98.22","328","1","404","2003","1053223"
"18","Fatehabad","2","17880","17394","97.28","482","4","331","900","808890"
"19","Kaithal","0","11246","10899","96.91","346","1","722","2546","904860"
"20","Palwal","0","11026","10873","98.61","153","0","684","1764","896014"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","16","124","651193"
"22","Nuh","0","5014","4891","97.55","123","0","12581","1630","560662"
"Total","","16","771544","761351[8]","98.68","10053","117","22993","37570","27560970"
