District,Recovered,Deceased,Active
लखनऊ,294710,2694,198
गौतम बिु नगर,102084,490,150
गाज़ियाबाद,86146,473,72
िाराणसी,97748,988,44
हरदोई,17327,373,30
कानपरु नगर,91650,1923,26
महाराजगजं,14778,146,25
प्रयागराज,87516,1120,20
फतहेपरु,8356,141,17
अमरोहा,19298,208,16
शाहजहांपरु,24421,446,14
अलीगढ,25516,113,13
बलुदंशहर,26413,254,13
कन्नौज,10863,126,13
लखीमपरु-खीरी,30047,300,13
मनैपरुी,11513,189,13
बाराबकंी,23726,227,12
जौनपरु,24416,244,12
जालौन,13895,209,11
लललतपरु,14895,134,11
चदंौली,17572,380,10
इटावा,15786,297,10
झासी,44023,675,10
मरेठ,88215,932,10
उन्नाव,16943,257,10
मथरुा,25649,406,9
राय बरेली,21399,348,9
आगरा,35994,465,8
फरु्रखाबाद,11883,197,8
गोरखपरु,65999,866,8
सोनभद्र,18681,257,8
देवररया,22414,230,7
हमीरपरु,6217,102,7
गाजीपरु,23880,295,6
बादा,12149,169,5
बरेली,50118,377,5
बस्ती,12811,337,5
सलु्तानपरु,16895,144,5
अम्बडेकर नगर,5972,167,4
औरैय्या,10816,211,4
क्रिरोजाबाद,10611,136,4
सभंल,11034,109,4
भदोही,8489,166,3
