"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","130","183","1196"
"Kollam","102","96","112"
"Pathanamthitta","65","58","370"
"Alappuzha","34","72","88"
"Kottayam","102","212","1148"
"Idukki","67","88","763"
"Ernakulam","200","345","1627"
"Thrissur","74","82","742"
"Palakkad","23","22","42"
"Malappuram","34","34","289"
"Kozhikode","71","61","633"
"Wayanad","21","77","308"
"Kannur","34","85","198"
"Kasaragod","9","29","20"
"Total","966","1444","7536"
