"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109650","90","107288","2272"
"2","SAS Nagar","95518","191","94183","1144"
"3","Jalandhar","78140","88","76477","1575"
"4","Patiala","61956","29","60470","1457"
"5","Amritsar","59335","33","57621","1681"
"6","Bathinda","50780","48","49645","1087"
"7","Hoshiarpur","40718","66","39560","1092"
"8","Gurdaspur","26900","35","26003","862"
"9","Pathankot","24453","86","23878","489"
"10","Fazilka","23311","28","22739","544"
"11","Muktsar","22515","11","21966","538"
"12","Kapurthala","21985","33","21373","579"
"13","Ropar","17910","15","17441","454"
"14","Ferozepur","17853","27","17295","531"
"15","Mansa","17223","5","16827","391"
"16","Faridkot","16701","24","16339","338"
"17","Sangrur","14304","3","13566","735"
"18","SBS Nagar","13381","10","12966","405"
"19","FG Sahib","11819","8","11457","354"
"20","Moga","10973","8","10711","254"
"21","Tarn Taran","10872","30","10448","394"
"22","Barnala","7477","29","7106","342"
"23","Malerkotla","3965","2","3787","176"
"","Total","757739","899","739146","17694"
