"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","693","110469","457","107946","14","2293","230"
"2","SAS Nagar","1198","96887","862","95395","6","1154","338"
"3","Jalandhar","318","78588","229","76929","2","1580","79"
"4","Patiala","456","62477","349","60921","1","1458","98"
"5","Amritsar","194","59591","154","57862","2","1684","45"
"6","Bathinda","234","51102","114","49892","0","1088","122"
"7","Hoshiarpur","111","40951","101","39833","0","1096","22"
"8","Gurdaspur","59","26998","45","26118","1","865","15"
"9","Pathankot","113","24637","85","24118","0","495","24"
"10","Fazilka","80","23476","64","22903","0","545","28"
"11","Muktsar","30","22584","25","22035","0","539","10"
"12","Kapurthala","81","22111","62","21514","1","583","14"
"13","Ropar","83","18021","63","17546","0","455","20"
"14","Ferozepur","60","17959","46","17406","1","538","15"
"15","Mansa","47","17275","19","16855","1","393","27"
"16","Faridkot","113","16896","84","16525","0","338","33"
"17","Sangrur","30","14339","18","13591","0","735","13"
"18","SBS Nagar","39","13441","34","13022","0","409","10"
"19","FG Sahib","92","11926","63","11543","0","354","29"
"20","Moga","22","11009","16","10747","1","255","7"
"21","Tarn Taran","23","10919","12","10517","0","394","8"
"22","Barnala","16","7513","15","7158","0","349","6"
"23","Malerkotla","13","3981","13","3804","0","176","1"
"","Total","4105","763150","2930","744180","30","17776","1194"
