"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109792","14","107499","2279"
"2","SAS Nagar","95701","10","94543","1148"
"3","Jalandhar","78295","7","76710","1578"
"4","Patiala","62042","3","60581","1458"
"5","Amritsar","59398","4","57712","1682"
"6","Bathinda","50876","5","49783","1088"
"7","Hoshiarpur","40841","3","39742","1096"
"8","Gurdaspur","26942","2","26076","864"
"9","Pathankot","24539","2","24042","495"
"10","Fazilka","23399","0","22854","545"
"11","Muktsar","22556","2","22015","539"
"12","Kapurthala","22043","2","21462","579"
"13","Ropar","17939","1","17483","455"
"14","Ferozepur","17902","3","17362","537"
"15","Mansa","17228","0","16836","392"
"16","Faridkot","16787","1","16448","338"
"17","Sangrur","14308","0","13573","735"
"18","SBS Nagar","13404","2","12995","407"
"19","FG Sahib","11834","0","11480","354"
"20","Moga","10987","0","10733","254"
"21","Tarn Taran","10899","0","10505","394"
"22","Barnala","7498","1","7149","348"
"23","Malerkotla","3967","0","3791","176"
"","Total","759177","62","741374","17741"
