"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
persons 
hospitalised"
"East Garo Hills","0","1","0","2031","16","4","0"
"East Jaintia Hills","0","2","0","2597","37","6","0"
"East Khasi Hills","2","7","0","47004","1069","54","22"
"Eastern West Khasi Hills","0","3","0","138","7","4","0"
"North Garo Hills","0","2","0","1864","9","17","1"
"Ri-Bhoi","1","3","0","10270","96","22","2"
"South Garo Hills","0","0","0","1334","12","2","0"
"South West Garo Hills","0","0","0","2084","20","12","0"
"South West Khasi Hills","0","0","0","2689","19","11","0"
"West Garo Hills","0","1","0","10680","79","16","2"
"West Jaintia Hills","1","0","0","7152","139","21","0"
"West Khasi Hills","0","3","0","5634","75","9","0"
"Total","4","22","0","93477","1578","178","27"
