"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87651","14","85528","2109"
"2","SAS Nagar","68914","36","67807","1071"
"3","Jalandhar","63466","27","61942","1497"
"4","Patiala","48954","13","47582","1359"
"5","Amritsar","47421","10","45813","1598"
"6","Bathinda","41777","28","40706","1043"
"7","Hoshiarpur","30888","27","29870","991"
"8","Gurdaspur","22395","8","21585","802"
"9","Fazilka","20279","4","19746","529"
"10","Pathankot","18896","30","18441","425"
"11","Muktsar","18799","15","18260","524"
"12","Kapurthala","17865","4","17305","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15609","0","15228","381"
"15","Ferozepur","14381","14","13863","504"
"16","Faridkot","13942","4","13621","317"
"17","Ropar","12976","2","12550","424"
"18","SBS Nagar","11472","0","11084","388"
"19","FG Sahib","8899","13","8550","336"
"20","Moga","8682","4","8444","234"
"21","Tarn Taran","8055","6","7669","380"
"22","Barnala","5954","8","5702","244"
"","Total","603043","270","586186","16587"
