,Unnamed: 0,Unnamed: 0.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,2021-11-09,HP,130,1,169,0,3019,67588,0,0,746.0,23.0,1436.0,0,11407.0,251263.0,0.0,Bilaspur,9,0,24,,160,4641,0,0,73.0,0.0,136.0,0.0,519.0,13835.0,0,382056,,,,14472,85,14298,,323957,253387,0,1,2021-11-09 08:47,7300000,2021-11-09 08:47,,,225165,3768,220297,,5729932,3783715,0,17,0.0,0.0
1,1,1,2021-11-09,HP,130,1,169,0,3019,67588,0,0,746.0,23.0,1436.0,0,11407.0,251263.0,0.0,Chamba,0,0,0,,291,5169,0,0,7.0,0.0,18.0,0.0,1618.0,29010.0,0,518844,,,,13697,160,13525,,366385,234969,0,2,2021-11-09 08:47,7300000,2021-11-09 08:47,,,225165,3768,220297,,5729932,3783715,0,17,0.0,0.0
2,2,2,2021-11-09,HP,130,1,169,0,3019,67588,0,0,746.0,23.0,1436.0,0,11407.0,251263.0,0.0,Hamirpur,15,0,31,,153,3723,0,0,145.0,3.0,250.0,0.0,471.0,12134.0,0,454293,,,,17588,290,17073,,378048,287832,0,1,2021-11-09 08:47,7300000,2021-11-09 08:47,,,225165,3768,220297,,5729932,3783715,0,17,0.0,0.0
3,3,3,2021-11-09,HP,130,1,169,0,3019,67588,0,0,746.0,23.0,1436.0,0,11407.0,251263.0,0.0,Kangra,53,1,68,,508,12564,0,0,261.0,14.0,621.0,0.0,2067.0,45166.0,0,1507223,,,,51205,1143,49675,,1185765,788374,0,5,2021-11-09 08:47,7300000,2021-11-09 08:47,,,225165,3768,220297,,5729932,3783715,0,17,0.0,0.0
4,4,4,2021-11-09,HP,130,1,169,0,3019,67588,0,0,746.0,23.0,1436.0,0,11407.0,251263.0,0.0,Kinnaur,2,0,1,,19,160,0,0,8.0,0.0,4.0,0.0,40.0,402.0,0,84298,,,,3517,38,3469,,79728,63781,0,0,2021-11-09 08:47,7300000,2021-11-09 08:47,,,225165,3768,220297,,5729932,3783715,0,17,0.0,0.0
5,5,5,2021-11-09,HP,130,1,169,0,3019,67588,0,0,746.0,23.0,1436.0,0,11407.0,251263.0,0.0,Kullu,6,0,4,,216,3333,0,0,16.0,0.0,22.0,0.0,899.0,14104.0,0,437474,,,,9715,158,9523,,352436,221050,0,2,2021-11-09 08:47,7300000,2021-11-09 08:47,,,225165,3768,220297,,5729932,3783715,0,17,0.0,0.0
6,6,6,2021-11-09,HP,130,1,169,0,3019,67588,0,0,746.0,23.0,1436.0,0,11407.0,251263.0,0.0,Lahaul and Spiti,0,0,0,,7,15,0,0,4.0,0.0,0.0,0.0,25.0,190.0,0,31528,,,,2957,18,2935,,31956,21384,0,0,2021-11-09 08:47,7300000,2021-11-09 08:47,,,225165,3768,220297,,5729932,3783715,0,17,0.0,0.0
7,7,7,2021-11-09,HP,130,1,169,0,3019,67588,0,0,746.0,23.0,1436.0,0,11407.0,251263.0,0.0,Mandi,9,0,14,,266,7808,0,0,85.0,2.0,119.0,0.0,1096.0,34764.0,0,999518,,,,31721,453,31156,,776764,524169,0,0,2021-11-09 08:47,7300000,2021-11-09 08:47,,,225165,3768,220297,,5729932,3783715,0,17,0.0,0.0
8,8,8,2021-11-09,HP,130,1,169,0,3019,67588,0,0,746.0,23.0,1436.0,0,11407.0,251263.0,0.0,Shimla,14,0,11,,341,6616,0,0,63.0,2.0,94.0,0.0,1305.0,26025.0,0,813384,,,,27626,643,26901,,680413,454866,0,4,2021-11-09 08:47,7300000,2021-11-09 08:47,,,225165,3768,220297,,5729932,3783715,0,17,0.0,0.0
9,9,9,2021-11-09,HP,130,1,169,0,3019,67588,0,0,746.0,23.0,1436.0,0,11407.0,251263.0,0.0,Sirmaur,1,0,1,,447,8446,0,0,4.0,0.0,1.0,0.0,1483.0,27768.0,0,530164,,,,15460,211,15245,,425803,246104,0,0,2021-11-09 08:47,7300000,2021-11-09 08:47,,,225165,3768,220297,,5729932,3783715,0,17,0.0,0.0
10,10,10,2021-11-09,HP,130,1,169,0,3019,67588,0,0,746.0,23.0,1436.0,0,11407.0,251263.0,0.0,Solan,3,0,4,,387,9213,0,0,10.0,0.0,25.0,0.0,1140.0,27012.0,0,576670,,,,22830,314,22501,,692707,373495,0,0,2021-11-09 08:47,7300000,2021-11-09 08:47,,,225165,3768,220297,,5729932,3783715,0,17,0.0,0.0
11,11,11,2021-11-09,HP,130,1,169,0,3019,67588,0,0,746.0,23.0,1436.0,0,11407.0,251263.0,0.0,Una,18,0,11,,224,5900,0,0,70.0,2.0,146.0,0.0,744.0,20853.0,0,521057,,,,14377,255,13996,,435970,314304,0,2,2021-11-09 08:47,7300000,2021-11-09 08:47,,,225165,3768,220297,,5729932,3783715,0,17,0.0,0.0
