Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState,deltaVaccinatedForState,7DmaVaccinatedForState,cumulativeVaccinatedNumberForDistrict,deltaVaccinatedForDistrict
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Jagatsinghpur,3,0,30,,1822,3877,0,27962,317,27579,,695930,309386,1136604,,,,27979,317,27619,,695930,309386,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,1005316.0,5699
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Jajpur,14,0,22,,3646,8795,0,43799,171,43525,,1117662,447723,1826275,,,,43833,171,43560,,1117662,447723,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,1565385.0,12441
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Jharsuguda,1,0,4,,656,2239,0,23872,176,23683,,407473,207999,579499,,,,23877,176,23690,,407473,207999,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,615472.0,2895
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Kalahandi,0,0,3,,3176,7092,0,24318,210,24091,,951986,350181,1573054,,,,24320,210,24098,,951986,350181,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,1302167.0,10268
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Kandhamal,0,0,0,,1982,3780,0,11538,83,11454,,399988,173274,731952,,,,11538,83,11454,,399988,173274,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,573262.0,5762
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Kendrapara,1,0,9,,1774,5682,0,24898,251,24594,,935885,395728,1439891,,,,24913,252,24615,,935885,395728,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,1331613.0,7456
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Kendujhar,0,0,2,,2333,8457,0,20984,173,20806,,1107074,440236,1802777,,,,20986,173,20809,,1107074,440236,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,1547310.0,10790
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Khordha,152,2,417,,3415,7821,0,176209,1548,173149,,2091161,1566082,2246341,,,,176603,1555,173788,,2091161,1566082,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,3657243.0,11236
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Koraput,1,0,3,,4609,12167,0,19145,78,19053,,882782,467379,1376934,,,,19150,78,19059,,882782,467379,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,1350161.0,16776
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Malkangiri,4,0,0,,890,2046,0,11671,46,11614,,421223,157721,612727,,,,11678,46,11615,,421223,157721,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,578944.0,2936
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Mayurbhanj,4,0,47,,14376,7788,0,40898,284,40516,,1350353,467857,2513895,,,,40909,285,40585,,1350353,467857,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,1818210.0,22164
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Nabarangapur,1,0,0,,2180,3315,0,23551,84,23461,,693180,218696,1218762,,,,23553,84,23462,,693180,218696,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,911876.0,5495
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Nayagarh,1,0,7,,1056,6446,0,23521,210,23282,,600971,264733,962215,,,,23526,211,23294,,600971,264733,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,865704.0,7502
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Nuapada,0,0,2,,520,2874,0,22931,85,22830,,406902,151945,606490,,,,22934,85,22837,,406902,151945,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,558847.0,3394
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Puri,1,0,15,,2837,7332,0,45457,458,44951,,1100404,582318,1697983,,,,45470,459,44977,,1100404,582318,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,1682722.0,10169
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Rayagada,1,0,4,,805,5073,0,20227,167,20025,,555371,214535,961959,,,,20229,167,20042,,555371,214535,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,769906.0,5878
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Sambalpur,4,0,17,,997,4487,0,31700,240,31384,,778978,452677,1044410,,,,31725,240,31410,,778978,452677,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,1231655.0,5484
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Subarnapur,0,0,0,,698,4645,0,13192,61,13119,,424774,237339,652107,,,,13194,61,13121,,424774,237339,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,662113.0,5343
2021-11-09,OR,296,3,830,53394,84932,179724,0,1043220.5714285715,8353.714285714286,1031718.0,,26506877.0,12907564.0,Sundargarh,23,0,22,,3716,5121,0,61878,590,61214,,1151053,526249,2080664,,,,61913,590,61245,,1151053,526249,2021-11-10 12:02:03.146233,43671000,2021-11-10 12:02:03.146958,,,1044041,8364,1033027,22524398,26506877,12907564,39414441.0,264656.0,39414441.0,1677302.0,8837
