,Unnamed: 0,Unnamed: 0.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
0,0,0,2021-11-09,NL,13,0,14,656,629,2631,0,0,83.0,2.0,105.0,3955.0,2955.0,13369.0,0.0,Dimapur,9,0,6,,438,1551,0,0,62.0,1.0,59.0,,1710.0,6333.0,0,379769,,,702 cases were recorded as Non Covid Deaths with Covid19 Positivity,14756,412,14241,,271336,185737,0,702,2022-01-22T01:51:33.345998+05:30,2150000,,,1063 cases were recorded as Non Covid Deaths with Covid19 Positivity,31951,673,31082,400535,714262,510827,0,1063,3.0,2.0
1,1,1,2021-11-09,NL,13,0,14,656,629,2631,0,0,83.0,2.0,105.0,3955.0,2955.0,13369.0,0.0,Kiphire,1,0,0,,9,34,0,0,3.0,0.0,0.0,,114.0,231.0,0,74033,,,1 cases were recorded as Non Covid Deaths with Covid19 Positivity,262,9,247,,13139,8489,0,1,2022-01-22T01:51:33.345998+05:30,2150000,,,1063 cases were recorded as Non Covid Deaths with Covid19 Positivity,31951,673,31082,400535,714262,510827,0,1063,3.0,0.0
2,2,2,2021-11-09,NL,13,0,14,656,629,2631,0,0,83.0,2.0,105.0,3955.0,2955.0,13369.0,0.0,Kohima,2,0,1,,57,293,0,0,7.0,0.0,24.0,,345.0,1924.0,0,270063,,,204 cases were recorded as Non Covid Deaths with Covid19 Positivity,9474,123,9323,,106265,85322,0,204,2022-01-22T01:51:33.345998+05:30,2150000,,,1063 cases were recorded as Non Covid Deaths with Covid19 Positivity,31951,673,31082,400535,714262,510827,0,1063,3.0,0.0
3,3,3,2021-11-09,NL,13,0,14,656,629,2631,0,0,83.0,2.0,105.0,3955.0,2955.0,13369.0,0.0,Longleng,0,0,0,,1,10,0,0,0.0,0.0,1.0,,11.0,189.0,0,50593,,,20 cases were recorded as Non Covid Deaths with Covid19 Positivity,307,0,305,,20593,15664,0,20,2022-01-22T01:51:33.345998+05:30,2150000,,,1063 cases were recorded as Non Covid Deaths with Covid19 Positivity,31951,673,31082,400535,714262,510827,0,1063,3.0,0.0
4,4,4,2021-11-09,NL,13,0,14,656,629,2631,0,0,83.0,2.0,105.0,3955.0,2955.0,13369.0,0.0,Mokokchung,0,0,0,,11,52,0,0,4.0,0.0,9.0,,180.0,1504.0,0,193171,,,63 cases were recorded as Non Covid Deaths with Covid19 Positivity,2340,54,2257,,69476,56906,0,63,2022-01-22T01:51:33.345998+05:30,2150000,,,1063 cases were recorded as Non Covid Deaths with Covid19 Positivity,31951,673,31082,400535,714262,510827,0,1063,3.0,1.0
5,5,5,2021-11-09,NL,13,0,14,656,629,2631,0,0,83.0,2.0,105.0,3955.0,2955.0,13369.0,0.0,Mon,0,0,0,,41,267,0,0,0.0,0.0,0.0,,124.0,1277.0,0,259604,,,19 cases were recorded as Non Covid Deaths with Covid19 Positivity,1159,12,1141,,70204,49964,0,19,2022-01-22T01:51:33.345998+05:30,2150000,,,1063 cases were recorded as Non Covid Deaths with Covid19 Positivity,31951,673,31082,400535,714262,510827,0,1063,3.0,0.0
6,6,6,2021-11-09,NL,13,0,14,656,629,2631,0,0,83.0,2.0,105.0,3955.0,2955.0,13369.0,0.0,Peren,0,0,0,,9,29,0,0,2.0,0.0,2.0,,96.0,209.0,0,163294,,,15 cases were recorded as Non Covid Deaths with Covid19 Positivity,922,6,914,,20090,12899,0,15,2022-01-22T01:51:33.345998+05:30,2150000,,,1063 cases were recorded as Non Covid Deaths with Covid19 Positivity,31951,673,31082,400535,714262,510827,0,1063,3.0,0.0
7,7,7,2021-11-09,NL,13,0,14,656,629,2631,0,0,83.0,2.0,105.0,3955.0,2955.0,13369.0,0.0,Phek,0,0,4,,2,44,0,0,3.0,0.0,5.0,,38.0,317.0,0,163294,,,9 cases were recorded as Non Covid Deaths with Covid19 Positivity,604,18,583,,31339,21218,0,9,2022-01-22T01:51:33.345998+05:30,2150000,,,1063 cases were recorded as Non Covid Deaths with Covid19 Positivity,31951,673,31082,400535,714262,510827,0,1063,3.0,0.0
8,8,8,2021-11-09,NL,13,0,14,656,629,2631,0,0,83.0,2.0,105.0,3955.0,2955.0,13369.0,0.0,Tuensang,0,0,0,,26,97,0,0,0.0,1.0,1.0,,39.0,195.0,0,414801,,,3 cases were recorded as Non Covid Deaths with Covid19 Positivity,1098,13,1082,,38197,27077,0,3,2022-01-22T01:51:33.345998+05:30,2150000,,,1063 cases were recorded as Non Covid Deaths with Covid19 Positivity,31951,673,31082,400535,714262,510827,0,1063,3.0,0.0
9,9,9,2021-11-09,NL,13,0,14,656,629,2631,0,0,83.0,2.0,105.0,3955.0,2955.0,13369.0,0.0,Wokha,1,0,3,,11,156,0,0,1.0,0.0,3.0,,71.0,395.0,0,166239,,,16 cases were recorded as Non Covid Deaths with Covid19 Positivity,405,11,384,,35224,24162,0,16,2022-01-22T01:51:33.345998+05:30,2150000,,,1063 cases were recorded as Non Covid Deaths with Covid19 Positivity,31951,673,31082,400535,714262,510827,0,1063,3.0,0.0
