"S. No","Subject","Number"
"1","Total Number of people vaccinated on 9th Sep","6,95,650"
"2","First Dose on 9th Sep","4,99,681"
"3","Second Dose on 9th Sep","1,95,969"
"4","Cumulative Vaccination till 9th Sep","4,52,57,924"
"5","Cumulative Vaccination First Dose","3,24,21,444"
"6","Cumulative Vaccination Second Dose","1,28,36,480"
"7","Number of CVC (Common Vaccination Centres)","3,699"
"8","Cumulative AEFI cases reported","3,818"
"9","Vaccine wastage","-7%"
