"S.No","District","Positives
Last 24 Hrs","Total
Positives","Total
Active Cases","Total
Recovered","Total
Deceased"
"1","Anantapur","23","177482","154","176223","1105"
"2","Chittoor","2","272365","24","270341","2000"
"3","East Godavari","14","316504","160","315046","1298"
"4","Guntur","6","203227","42","201908","1277"
"5","YSR Kadapa","1","134882","9","134221","652"
"6","Krishna","5","136883","29","135358","1496"
"7","Kurnool","0","144243","2","143374","867"
"8","Nellore","1","164354","11","163253","1090"
"9","Prakasam","3","155921","8","154767","1146"
"10","Srikakulam","0","133935","4","133133","798"
"11","Visakhapatnam","11","190896","46","189666","1184"
"12","Vizianagaram","4","92237","12","91545","680"
"13","West Godavari","5","193317","35","192145","1137"
"","Total AP Cases","75","2316246","536","2300980","14730"
"14","Other States","0","2461","0","2461","0"
"15","Other Countries","0","434","0","434","0"
"","Total","75","2319141","536","2303875","14730"
