District,Recovered,Deceased,Active
गौतम बिु नगर,99427,490,701
गाज़ियाबाद,84891,473,334
लखनऊ,294145,2694,128
आगरा,35757,465,82
मरेठ,88113,932,52
िाराणसी,97587,988,35
कानपरु नगर,91522,1923,34
प्रयागराज,87400,1116,25
बलुदंशहर,26345,253,16
लललतपरु,14765,134,12
कन्नौज,10827,126,10
कुशीनगर,16231,235,9
उन्नाव,16914,257,9
अम्बडेकर नगर,5960,167,8
फरु्रखाबाद,11880,197,8
हमीरपरु,6077,102,8
औरैय्या,10788,211,7
बाराबकंी,23705,227,7
इटावा,15779,296,7
अलीगढ,25483,113,6
अमरोहा,19298,208,6
मथरुा,25594,406,6
आजमगढ़,19442,235,5
चदंौली,17537,379,5
चचत्रकूट,7773,79,5
क्रिरोजाबाद,10571,136,5
गोंडा,14150,285,5
गोरखपरु,65967,866,5
हरदोई,17283,371,5
जौनपरु,24379,244,5
लखीमपरु-खीरी,30025,300,5
महाराजगजं,14732,146,5
प्रतापगढ़,16751,163,5
जालौन,13856,209,4
मरुादाबाद,46073,368,4
राय बरेली,21332,348,4
बादा,12060,166,3
बरेली,50103,377,3
झासी,43899,675,3
रामपरु,14610,153,3
सहारनपरु,38379,428,3
शाहजहांपरु,24404,447,3
शामली,16696,48,3
