"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","35187","2","34852","2","0","333","0"
"2","Ballari","1","97846","1","96057","102","0","1687","0"
"3","Belagavi","6","80124","7","79093","83","0","948","0"
"4","Bengaluru Rural","3","62149","1","61226","31","0","892","0"
"5","Bengaluru Urban","400","1262397","130","1239616","6388","4","16392","1"
"6","Bidar","0","24352","0","23943","1","0","404","4"
"7","Chamarajanagara","1","33118","0","32590","13","0","504","11"
"8","Chikkaballapura","1","44008","4","43561","14","0","432","1"
"9","Chikkamagaluru","1","51452","9","51025","29","0","398","0"
"10","Chitradurga","2","36770","12","36543","16","1","211","0"
"11","Dakshina 
Kannada","33","116341","13","114498","143","0","1693","7"
"12","Davanagere","2","51033","0","50412","13","0","608","0"
"13","Dharwada","7","61500","4","60140","33","0","1325","2"
"14","Gadag","0","26074","0","25755","0","0","319","0"
"15","Hassana","31","112315","13","110972","79","0","1262","2"
"16","Haveri","0","21961","1","21318","0","0","643","0"
"17","Kalaburagi","3","61980","4","61147","10","0","823","0"
"18","Kodagu","14","37742","3","37171","232","0","338","1"
"19","Kolara","14","47144","1","46432","69","0","643","0"
"20","Koppala","0","35209","0","34672","9","0","528","0"
"21","Mandya","9","73948","5","73254","39","0","655","0"
"22","Mysuru","9","180250","10","177720","102","0","2428","0"
"23","Raichuru","0","39992","0","39658","1","0","333","0"
"24","Ramanagara","0","24222","1","23895","4","0","323","0"
"25","Shivamogga","1","69727","1","68558","79","0","1090","0"
"26","Tumakuru","8","121332","3","120097","93","1","1142","0"
"27","Udupi","17","77084","4","76504","89","0","491","0"
"28","Uttara Kannada","2","56662","16","55801","86","0","775","0"
"29","Vijayapura","1","36295","0","35789","11","0","495","0"
"30","Yadagiri","0","27548","0","27342","0","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","566","3005798","245","2959674","7771","6","38324","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 29-12-2021 
 Page 5 of 8","","","","","","","","",""
