"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","405","567","3414"
"Kollam","167","209","1024"
"Pathanamthitta","158","209","250"
"Alappuzha","87","93","255"
"Kottayam","203","79","2461"
"Idukki","60","136","1119"
"Ernakulam","419","512","3520"
"Thrissur","237","278","1727"
"Palakkad","60","128","439"
"Malappuram","102","119","1311"
"Kozhikode","273","376","2767"
"Wayanad","90","75","689"
"Kannur","178","185","953"
"Kasaragod","35","86","471"
"Total","2474","3052","20400"
