"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","108","1148859","0","19729"
"2","Thane","2","121008","0","2290"
"3","TMC","17","202809","0","2193"
"4","Navi Mumbai","26","181056","1","2097"
"5","KDMC","6","180146","0","2978"
"6","Ulhasnagar MC","2","27306","0","686"
"7","Bhivandi Nijampur MC","0","13414","0","496"
"8","Mira Bhayandar MC","3","79879","0","1237"
"9","Palghar","0","65736","0","1244"
"10","Vasai Virar MC","2","102698","0","2177"
"11","Raigad","14","144550","0","3484"
"12","Panvel MC","11","111386","0","1488"
"","Mumbai circle total","191","2378847","1","40099"
"13","Nashik","12","186308","0","3817"
"14","Nashik MC","16","281172","0","4756"
"15","Malegaon MC","0","11167","0","345"
