"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","1","40681","0","40311","3","0","367","0"
"2","Ballari","1","115512","0","113725","22","0","1763","2"
"3","Belagavi","11","100132","2","99105","24","0","1001","2"
"4","Bengaluru Rural","1","79275","0","78359","10","0","906","0"
"5","Bengaluru Urban","74","1781290","90","1762738","1596","1","16955","1"
"6","Bidar","0","29806","0","29382","0","0","420","4"
"7","Chamarajanagara","0","43615","0","43080","0","0","524","11"
"8","Chikkaballapura","1","55626","1","55157","9","0","459","1"
"9","Chikkamagaluru","2","57243","1","56833","4","0","406","0"
"10","Chitradurga","6","46325","2","46055","31","0","239","0"
"11","Dakshina 
Kannada","4","135480","8","133620","10","1","1840","10"
"12","Davanagere","0","57534","0","56911","0","0","623","0"
"13","Dharwada","0","84069","1","82674","5","0","1383","7"
"14","Gadag","0","30583","0","30248","0","0","335","0"
"15","Hassana","0","143859","0","142546","4","0","1307","2"
"16","Haveri","0","26839","0","26170","0","0","669","0"
"17","Kalaburagi","0","76600","1","75709","11","0","880","0"
"18","Kodagu","0","49263","0","48909","1","0","352","1"
"19","Kolara","0","62987","3","62320","3","0","664","0"
"20","Koppala","0","41281","0","40743","0","0","538","0"
"21","Mandya","1","101482","0","100769","2","0","711","0"
"22","Mysuru","1","229448","2","226880","10","0","2558","0"
"23","Raichuru","0","45447","0","45082","1","0","364","0"
"24","Ramanagara","1","29792","4","29444","1","0","347","0"
"25","Shivamogga","0","83323","0","82175","19","0","1128","1"
"26","Tumakuru","1","159831","0","158604","11","0","1216","0"
"27","Udupi","3","95599","0","95043","10","0","546","0"
"28","Uttara Kannada","1","71162","0","70352","1","0","809","0"
"29","Vijayapura","0","40997","1","40475","3","0","519","0"
"30","Yadagiri","0","29962","1","29749","1","0","212","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","109","3945079","117","3903201","1792","2","40044","42"
"*
    
Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today.  
 
 
Date: 24-03-2022 
Page 5 of 7","","","","","","","","",""
