,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,Alluri Sitharama Raju,0,0,0,0,2316683,14730,2304910,33519781.0
1,Anakapalli,0,0,0,0,2316683,14730,2304910,33519781.0
2,Anantapur,177611,0,0,0,2316683,14730,2304910,33519781.0
3,Annamayya,0,0,0,0,2316683,14730,2304910,33519781.0
4,Bapatla,0,0,0,0,2316683,14730,2304910,33519781.0
5,Chittoor,272394,0,0,0,2316683,14730,2304910,33519781.0
6,East Godavari,316586,0,0,0,2316683,14730,2304910,33519781.0
7,Eluru,0,0,0,0,2316683,14730,2304910,33519781.0
8,Guntur,203244,0,0,0,2316683,14730,2304910,33519781.0
9,Kakinada,0,0,0,0,2316683,14730,2304910,33519781.0
10,Konaseema,0,0,0,0,2316683,14730,2304910,33519781.0
11,Krishna,136896,0,0,0,2316683,14730,2304910,33519781.0
12,Kurnool,144244,0,0,0,2316683,14730,2304910,33519781.0
13,Nandyal,0,0,0,0,2316683,14730,2304910,33519781.0
14,NTR District,0,0,0,0,2316683,14730,2304910,33519781.0
15,Palnadu,0,0,0,0,2316683,14730,2304910,33519781.0
16,Parvathipuram Manyam,0,0,0,0,2316683,14730,2304910,33519781.0
17,Prakasam,155937,0,0,0,2316683,14730,2304910,33519781.0
18,S.P.S. Nellore,164374,0,0,0,2316683,14730,2304910,33519781.0
19,Sri Sathya Sai,0,0,0,0,2316683,14730,2304910,33519781.0
20,Srikakulam,133952,0,0,0,2316683,14730,2304910,33519781.0
21,Tirupati,0,0,0,0,2316683,14730,2304910,33519781.0
22,Visakhapatnam,190938,0,0,0,2316683,14730,2304910,33519781.0
23,Vizianagaram,92241,0,0,0,2316683,14730,2304910,33519781.0
24,West Godavari,193378,0,0,0,2316683,14730,2304910,33519781.0
25,Y.S.R. Kadapa,134888,0,0,0,2316683,14730,2304910,33519781.0
