"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
17-12-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","15","181930","180907[21]","99.44","926","97","2437","8776","4072422"
"2","Faridabad","2","100018","99259[1]","99.24","717","42","2810","12658","2919576"
"3","Hisar","0","54002","52865","97.89","1137","0","2523","11052","1567309"
"4","Sonepat","0","47145","46891","99.46","254","0","1562","5997","1645042"
"5","Karnal","2","40054","39492","98.60","554","8","1776","9467","1698487"
"6","Panipat","0","31158","30517","97.94","638","3","1938","7925","1391523"
"7","Panchkula","4","30890","30479[5]","98.67","381[1]","30","362","2071","836285"
"8","Ambala","0","30156","29645","98.31","509","2","1017","10519","1691619"
"9","Sirsa","2","29300","28788","98.25","508","4","2372","7116","1318729"
"10","Rohtak","0","25922","25366","97.86","534","5","1401","5989","1177265"
"11","Yamunanagar","1","24660","24239[1]","98.29","414","7","727","6446","1343238"
"12","Bhiwani","0","22411","21758","97.09","652","1","747","8362","1331232"
"13","Kurukshetra","0","22161","21802[2]","98.38","357","2","1587","7862","1022546"
"14","Mahindergarh","0","21689","21534","99.29","155","0","473","3350","991865"
"15","Jind","0","21210","20677","97.49","533","0","3838","8741","1173048"
"16","Rewari","1","20330","20108","98.91","221","1","1440","10851","1158739"
"17","Jhajjar","0","18850","18516","98.23","328","0","998","4647","1161595"
"18","Fatehabad","0","17880","17398","97.30","482","0","619","3950","887201"
"19","Kaithal","0","11251","10901","96.89","346","4","2961","12214","1068802"
"20","Palwal","0","11031","10877","98.60","153","1","1830","5210","1062387"
"21","Charkhi Dadri","0","5079","4940","97.26","139","0","342","927","693575"
"22","Nuh","0","5014","4891","97.55","123","0","2399","2905","778683"
"Haryana","","27","772141","761850[30]","98.67","10061[1]","207","36159","157035","30991168"
