"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","3095","113571","3050","110539","38","3017","15"
"2","SAS Nagar","5385","101074","5361","99894","20","1168","12"
"3","Jalandhar","2841","81106","2761","79099","43","1983","24"
"4","Patiala","2142","64222","2109","62492","11","1722","8"
"5","Amritsar","1414","60969","1398","59106","6","1846","17"
"6","Bathinda","1582","52449","1570","51013","6","1429","7"
"7","Hoshiarpur","1319","42428","1265","40997","19","1419","12"
"8","Gurdaspur","352","27279","331","26404","7","871","4"
"9","Pathankot","524","25026","482","24497","4","521","8"
"10","Fazilka","558","23990","555","23358","0","621","11"
"11","Muktsar","283","22835","281","22291","3","542","2"
"12","Kapurthala","552","22581","537","21978","9","601","2"
"13","Ropar","1148","19086","1136","18619","4","459","8"
"14","Ferozepur","479","18372","467","17827","3","540","5"
"15","Mansa","194","17419","191","17027","1","392","0"
"16","Faridkot","382","17218","381","16802","3","414","2"
"17","Sangrur","276","14710","268","13841","9","869","0"
"18","SBS Nagar","468","13870","471","13459","0","409","2"
"19","FG Sahib","729","12644","718","12198","1","437","9"
"20","Moga","250","11249","244","10975","6","272","2"
"21","Tarn Taran","155","11055","147","10652","1","399","4"
"22","Barnala","218","7718","215","7353","7","364","1"
"23","Malerkotla","61","4064","58","3849","4","215","0"
"","Total","24407","784935","23996","764270","205","20510","155"
