"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","574","1273","5145"
"Kollam","364","117","2413"
"Pathanamthitta","252","260","2158"
"Alappuzha","282","748","2975"
"Kottayam","437","1286","5285"
"Idukki","299","617","3719"
"Ernakulam","825","2923","8711"
"Thrissur","337","999","4512"
"Palakkad","225","545","1685"
"Malappuram","342","581","2860"
"Kozhikode","574","925","3804"
"Wayanad","230","285","2300"
"Kannur","188","444","1208"
"Kasaragod","94","74","579"
"Total","5023","11077","47354"
