"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","782","389","264695","261","14106","278801","1008"
"Bageshwar","770","636","227432","214","6688","234120","613"
"Chamoli","1280","207","306452","55","13213","319665","1752"
"Champawat","961","845","285059","279","8632","293691","436"
"Dehradun","9210","5726","2018197","1489","130362","2148559","5811"
"Haridwar","8722","5118","2337674","706","58468","2396142","2994"
"Nainital","1673","154","599914","666","46537","646451","1140"
"Pauri Garhwal","1671","920","433543","375","20338","453881","980"
"Pithoragarh","847","722","246680","195","11280","257960","623"
"Rudraprayag","817","371","208916","44","9268","218184","1301"
"Tehri Garhwal","720","607","316753","120","17032","333785","618"
"US Nagar","2818","1614","1010368","485","42925","1053293","1241"
"Uttarkashi","661","708","353591","75","13066","366657","677"
"Total","30932","18017","8609274","4964","391915","9001189","19194"
