"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on   
1-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","6","181434","180458[4]","99.46","922","54","1665","4875","3576768"
"2","Faridabad","3","99905","99158[1]","99.25","716","31","716","1724","2502166"
"3","Hisar","0","53995","52857","97.89","1136","2","67","245","1326683"
"4","Sonepat","0","47138","46884","99.46","254","0","744","1386","1402981"
"5","Karnal","0","40037","39484","98.62","552","1","78","961","1453029"
"6","Panipat","0","31150","30510","97.95","638","2","479","904","1105358"
"7","Panchkula","0","30770","30381[2]","98.74","378","11","145","1080","737845"
"8","Ambala","0","30150","29639","98.31","509","2","89","926","1445734"
"9","Sirsa","0","29282","28771","98.25","508","3","44","161","1065330"
"10","Rohtak","0","25903","25350","97.87","534","2","539","813","981260"
"11","Yamunanagar","0","24631","24215","98.31","414","2","117","434","1172345"
"12","Bhiwani","0","22409","21757","97.09","652","0","657","3148","1062682"
"13","Kurukshetra","1","22148","21789","98.38","357","2","76","275","858856"
"14","Mahindergarh","0","21689","21534","99.29","155","0","231","554","842223"
"15","Jind","0","21209","20675","97.48","533","1","405","525","956297"
"16","Rewari","0","20327","20106","98.91","221","0","77","282","944002"
"17","Jhajjar","0","18849","18514","98.22","328","1","724","988","979373"
"18","Fatehabad","0","17875","17394","97.31","481","0","51","192","776537"
"19","Kaithal","0","11244","10898","96.92","346","0","89","205","832901"
"20","Palwal","0","11025","10872","98.61","153","0","518","503","831639"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","0","3","626786"
"22","Nuh","0","5014","4890","97.53","123","1","2664","962","435714"
"Total","","10","771262","761075[7]","98.68","10049","115","10175","21146","25916509"
