"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
persons 
hospitalised"
"East Garo Hills","0","0","0","2049","17","0","0"
"East Jaintia Hills","0","0","0","2625","38","2","0"
"East Khasi Hills","0","0","0","47079","1075","1","0"
"Eastern West Khasi Hills","0","0","0","141","8","0","0"
"North Garo Hills","0","0","0","1881","9","0","0"
"Ri-Bhoi","1","0","0","10313","98","4","0"
"South Garo Hills","0","0","0","1343","13","0","0"
"South West Garo Hills","0","0","0","2094","20","0","0"
"South West Khasi Hills","0","0","0","2698","20","0","0"
"West Garo Hills","0","0","0","10724","80","0","0"
"West Jaintia Hills","0","0","0","7192","139","0","0"
"West Khasi Hills","0","0","0","5654","76","0","0"
"Total","1","0","0","93793","1593","7","0"
