"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","85","35885","62","35126","424","0","335","0"
"2","Ballari","767","103820","318","96855","5276","0","1689","0"
"3","Belagavi","518","84512","60","79902","3659","1","951","0"
"4","Bengaluru Rural","1036","69615","339","62695","6024","0","896","0"
"5","Bengaluru Urban","29068","1542092","7196","1302027","223580","6","16484","1"
"6","Bidar","351","26447","173","24603","1434","0","406","4"
"7","Chamarajanagara","576","35446","158","33214","1716","0","505","11"
"8","Chikkaballapura","772","48117","35","43948","3731","0","437","1"
"9","Chikkamagaluru","319","54048","171","51651","1999","0","398","0"
"10","Chitradurga","438","39442","36","36842","2386","0","214","0"
"11","Dakshina 
Kannada","897","126159","794","118543","5900","1","1709","7"
"12","Davanagere","249","52948","34","50906","1433","0","609","0"
"13","Dharwada","373","67755","716","62982","3443","1","1328","2"
"14","Gadag","336","27583","116","26087","1175","0","321","0"
"15","Hassana","1889","125147","1197","114519","9358","1","1268","2"
"16","Haveri","143","22441","65","21485","311","2","645","0"
"17","Kalaburagi","1164","67988","236","62505","4650","0","833","0"
"18","Kodagu","317","39438","186","38056","1043","0","338","1"
"19","Kolara","645","52436","526","48592","3200","0","644","0"
"20","Koppala","324","36554","102","34956","1070","0","528","0"
"21","Mandya","1506","84146","886","77884","5602","0","660","0"
"22","Mysuru","915","194070","1544","182644","8976","3","2450","0"
"23","Raichuru","367","41874","111","40002","1537","0","335","0"
"24","Ramanagara","330","26534","136","24504","1702","1","328","0"
"25","Shivamogga**","500","73554","244","69660","2801","1","1092","1"
"26","Tumakuru","2021","135212","1745","123039","11022","0","1151","0"
"27","Udupi","1018","84804","281","78484","5825","4","495","0"
"28","Uttara Kannada","682","61145","538","57942","2421","1","782","0"
"29","Vijayapura","327","37734","87","36201","1036","0","497","0"
"30","Yadagiri","116","28020","23","27405","409","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","48049","3425002","18115","3063292","323143","22","38537","30"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 21-01-2022 
 Page 5 of 40","","","","","","","","",""
