"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87681","26","85544","2111"
"2","SAS Nagar","68991","50","67869","1072"
"3","Jalandhar","63519","41","61979","1499"
"4","Patiala","48983","15","47606","1362"
"5","Amritsar","47432","6","45828","1598"
"6","Bathinda","41792","16","40729","1047"
"7","Hoshiarpur","30959","53","29912","994"
"8","Gurdaspur","22407","5","21599","803"
"9","Fazilka","20282","1","19751","530"
"10","Pathankot","18969","38","18503","428"
"11","Muktsar","18803","3","18276","524"
"12","Kapurthala","17869","3","17310","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15611","2","15228","381"
"15","Ferozepur","14422","35","13883","504"
"16","Faridkot","13951","6","13626","319"
"17","Ropar","12988","9","12554","425"
"18","SBS Nagar","11472","0","11084","388"
"19","FG Sahib","8905","4","8565","336"
"20","Moga","8684","2","8448","234"
"21","Tarn Taran","8066","9","7676","381"
"22","Barnala","5955","6","5705","244"
"","Total","603509","333","586565","16611"
