"S. No.","District","Total Confirmed 
Cases","Total Active 
Cases","Total Cured","Deaths"
"1","Ludhiana","87662","15","85537","2110"
"2","SAS Nagar","68945","39","67835","1071"
"3","Jalandhar","63486","31","61957","1498"
"4","Patiala","48971","22","47588","1361"
"5","Amritsar","47429","9","45822","1598"
"6","Bathinda","41777","13","40718","1046"
"7","Hoshiarpur","30932","53","29887","992"
"8","Gurdaspur","22402","9","21591","802"
"9","Fazilka","20281","5","19747","529"
"10","Pathankot","18941","54","18461","426"
"11","Muktsar","18800","16","18260","524"
"12","Kapurthala","17868","4","17308","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15609","0","15228","381"
"15","Ferozepur","14389","14","13871","504"
"16","Faridkot","13944","4","13621","319"
"17","Ropar","12979","4","12551","424"
"18","SBS Nagar","11472","0","11084","388"
"19","FG Sahib","8903","14","8553","336"
"20","Moga","8683","1","8448","234"
"21","Tarn Taran","8063","11","7671","381"
"22","Barnala","5954","8","5702","244"
"","Total","603258","329","586330","16599"
