"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,87,358"
"2","Number of persons tested positive today in Tamil Nadu","29,848"
"","Passengers returned from other countries  by 
International airport tested positive today","Nigeria - 1"
"","Passengers returned from other states by Road tested 
positive today","Andhra Pradesh - 10 
Telangana - 5 
West Bengal - 3 
Rajasthan - 1 
Bihar - 1 
Assam - 1"
"","Total","29,870"
"3","Total Number of persons tested positive till date","30,72,666"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,54,282/ 
6,02,90,114@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,47,054/ 
5,93,02,389"
"6","No. of Male / Female / Transgender tested positive today","16,884/12,986/0"
"7","No. of Male / Female / Transgender tested positive till date","17,93,890/12,78,738/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","326 (69 Govt+ 
257 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","21,684/ 
28,48,163"
"10","Total number of deaths today/ till date","33(21 Private &  
12 Govt) /37,145"
