District,Recovered,Deceased,Active
गौतम बिु नगर,101703,490,191
गाज़ियाबाद,85975,473,97
लखनऊ,294541,2694,74
झ सी,43928,675,59
ब द,12107,168,38
लललतपरु,14848,134,25
िाराणसी,97704,988,23
प्रय गर ज,87479,1118,18
फतहेपरु,8324,141,17
आगरा,35973,465,16
र य बरेली,21366,348,16
अमरोह,19298,208,15
हमीरपरु,6149,102,15
मथरु,25628,406,13
चित्रकूट,7788,79,12
कानपरु नगर,91630,1923,12
ज लौन,13881,209,11
जौनपरु,24398,244,10
मरेठ,88211,932,10
बलुदंशहर,26386,254,9
फरु्रख ब द,11883,197,7
लखीमपरु-खीरी,30038,300,7
औरैय्य,10805,211,6
गोरखपरु,65981,866,6
कन्नौज,10852,126,6
सलु्त नपरु,16875,144,6
ब र बकंी,23717,227,5
िदंौली,17555,380,5
इट व,15786,296,5
हरदोई,17297,373,5
अयोध्य,18687,293,4
आजमगढ़,19456,235,4
बरेली,50113,377,4
देवररय,22410,230,4
गोंड,14165,285,4
मह र जगजं,14749,146,4
मरुादाबाद,46100,368,4
अलीगढ,25508,113,3
बागपत,11073,144,3
ह थरस,3720,43,3
पीलीभीत,12730,205,3
प्रतापगढ़,16758,163,3
सहारनपरु,38389,428,3
