"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
persons 
hospitalised"
"East Garo Hills","0","1","0","2027","16","5","0"
"East Jaintia Hills","3","5","0","2593","35","11","0"
"East Khasi Hills","8","28","0","46969","1067","87","32"
"Eastern West Khasi Hills","0","1","0","137","6","11","0"
"North Garo Hills","1","2","0","1851","9","15","0"
"Ri-Bhoi","3","4","0","10259","96","27","1"
"South Garo Hills","0","2","0","1332","12","1","0"
"South West Garo Hills","2","2","0","2080","20","15","1"
"South West Khasi Hills","0","0","0","2679","19","5","0"
"West Garo Hills","4","8","0","10672","79","38","2"
"West Jaintia Hills","2","13","0","7144","139","26","1"
"West Khasi Hills","2","0","0","5628","75","9","0"
"Total","25","66","0","93371","1573","250","37"
