"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87707","36","85557","2114"
"2","SAS Nagar","69035","62","67900","1073"
"3","Jalandhar","63532","18","62014","1500"
"4","Patiala","49002","22","47618","1362"
"5","Amritsar","47441","2","45840","1599"
"6","Bathinda","41809","21","40741","1047"
"7","Hoshiarpur","30986","43","29948","995"
"8","Gurdaspur","22416","11","21602","803"
"9","Fazilka","20283","1","19752","530"
"10","Pathankot","18987","20","18537","430"
"11","Muktsar","18806","4","18278","524"
"12","Kapurthala","17875","6","17313","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15611","1","15229","381"
"15","Ferozepur","14469","54","13911","504"
"16","Faridkot","13956","4","13632","320"
"17","Ropar","13001","12","12563","426"
"18","SBS Nagar","11474","2","11084","388"
"19","FG Sahib","8906","2","8568","336"
"20","Moga","8684","0","8450","234"
"21","Tarn Taran","8076","12","7683","381"
"22","Barnala","5956","7","5705","244"
"","Total","603780","343","586815","16622"
