"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 20-09-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","21","123","299966","298819 [50] ↑","99.62%","1024","25","68","330","5703571"
"2","Faridabad","10","36","135573","134796 [7] ↑","99.43%","741","16","32","99","4177397"
"3  Hisar","","6","19","63829","62628 [1] ↑","98.12%","1182","11","116","525","2431979"
"4","Sonipat","2","4","59572","59292 [4] ↑","99.53%","276","15","119","79","2356448"
"5","Karnal","5","14","49865","49251 [2] ↑","98.77%","600","167","258","125","2465050"
"6","Panchkula","0","19","48312","47872","99.09%","421","68","55","28","1177135"
"7","Ambala","3","22","42807","42243 [8] ↑","98.68%","542","7","53","161","2206266"
"8","Panipat","2","7","36743","36059 [3] ↑","98.14%","677","5","15","91","2129151"
"9","Sirsa","0","3","34206","33657 [8] ↑","98.40%","546","23","68","160","1987057"
"10  Rohtak","","0","10","33150","32586 [2] ↑","98.30%","537","17","97","191","1811810"
"","11  Yamunanagar","5","17","32625","32150 [8] ↑","98.54%","458","43","270","69","2037277"
"12  Kurukshetra","","5","12","27793","27375","98.50%","406","15","44","210","1625233"
"13  Bhiwani","","0","8","27150","26475","97.51%","667","3","7","103","1879998"
"14","Jind","0","12","25403","24847","97.81%","544","58","90","99","1779856"
"","15  Mahendragarh","0","2","24997","24830","99.33%","165","147","440","198","1445813"
"16  Rewari","","0","2","24981","24755","99.10%","224","30","142","240","1625713"
"17","Jhajjar","0","6","24089","23723 [1] ↑","98.48%","354","4","15","41","1633181"
"18  Fatehabad","","0","0","20286","19786","97.54%","500","9","36","85","1213572"
"19  Kaithal","","1","12","15192","14805","97.45%","375","3","2","258","1890748"
"20  Palwal","","0","4","13656","13478 [1] ↑","98.70%","174","14","84","148","1576951"
"","21  Charkhi Dadri","0","7","8068","7914 [7] ↑","98.09%","147","28","32","160","953860"
"22  Nuh","","0","1","6178","6038","97.73%","139","0","0","0","1227243"
"HARYANA","","60","340","1054441","","1043379 [102] ↑  98.95%","10699","708","2043","3400","45335309"
