"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","20194","19911","16","267"
"2","Chengalpattu","250896","247874","364","2658"
"3","Chennai","786581","775131","2381","9069"
"4","Coimbatore","338137","334917","602","2618"
"5","Cuddalore","75480","74477","108","895"
"6","Dharmapuri","36699","36359","57","283"
"7","Dindigul","38625","37896","64","665"
"8","Erode","135280","134229","317","734"
"9","Kallakurichi","36897","36678","4","215"
"10","Kancheepuram","97657","96305","50","1302"
"11","Kanyakumari","89037","87798","154","1085"
"12","Karur","30134","29732","30","372"
"13","Krishnagiri","61441","60832","238","371"
"14","Madurai","92802","91484","82","1236"
"15","Mayiladuthurai","27184","26773","81","330"
"16","Nagapattinam","25878","25477","26","375"
"17","Namakkal","69360","68718","108","534"
"18","Nilgiris","42702","42451","25","226"
"19","Perambalur","14881","14596","36","249"
"20","Pudukottai","35125","34678","21","426"
"21","Ramanathapuram","24967","24587","12","368"
"22","Ranipet","55903","55087","29","787"
"23","Salem","130550","128545","243","1762"
"24","Sivagangai","24907","24639","49","219"
"25","Tenkasi","33792","33274","28","490"
"26","Thanjavur","93329","92206","83","1040"
"27","Theni","51751","51193","25","533"
"28","Thirupathur","35975","35303","39","633"
"29","Thiruvallur","152672","150649","83","1940"
"30","Thiruvannamalai","68048","67320","43","685"
"31","Thiruvarur","48869","48357","39","473"
"32","Thoothukudi","66986","66505","33","448"
"33","Tirunelveli","65558","65030","83","445"
"34","Tiruppur","131433","130245","136","1052"
"35","Trichy","97580","96305","114","1161"
"36","Vellore","57929","56718","48","1163"
"37","Villupuram","56004","55591","46","367"
"38","Virudhunagar","59102","58504","43","555"
"39","Airport Surveillance 
(International)","1387","1384","2","1"
"40","Airport Surveillance 
(Domestic)","1162","1156","5","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","35,63,322","35,19,342","5,947","38,033"
