"Sr. No.","District/Corporation","Cases","","Deaths",""
"","","Daily","Prog.","Daily","Prog."
"1","MCGM","90","1058713","0","19562"
"2","Thane","0","118047","0","2287"
"3","TMC","8","189593","0","2163"
"4","Navi Mumbai","10","166788","0","2090"
"5","KDMC","3","176189","0","2973"
"6","Ulhasnagar MC","0","26524","0","679"
"7","Bhivandi Nijampur MC","0","13148","0","496"
"8","Mira Bhayandar MC","0","76637","0","1227"
"9","Palghar","0","64666","0","1244"
"10","Vasai Virar MC","0","98946","0","2163"
"11","Raigad","3","138308","0","3463"
"12","Panvel MC","3","106049","0","1482"
"","Mumbai circle total","117","2233608","0","39829"
"13","Nashik","0","183745","0","3813"
"14","Nashik MC","2","278090","0","4752"
