"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109711","36","107398","2277"
"2","SAS Nagar","95627","71","94411","1145"
"3","Jalandhar","78229","42","76609","1578"
"4","Patiala","61996","17","60522","1457"
"5","Amritsar","59374","22","57670","1682"
"6","Bathinda","50833","15","49730","1088"
"7","Hoshiarpur","40796","27","39676","1093"
"8","Gurdaspur","26922","15","26044","863"
"9","Pathankot","24494","18","23981","495"
"10","Fazilka","23357","26","22786","545"
"11","Muktsar","22539","5","21996","538"
"12","Kapurthala","22010","9","21422","579"
"13","Ropar","17929","7","17467","455"
"14","Ferozepur","17885","5","17349","531"
"15","Mansa","17226","0","16834","392"
"16","Faridkot","16723","12","16373","338"
"17","Sangrur","14305","1","13569","735"
"18","SBS Nagar","13388","1","12980","407"
"19","FG Sahib","11829","2","11473","354"
"20","Moga","10979","3","10722","254"
"21","Tarn Taran","10883","6","10483","394"
"22","Barnala","7486","15","7126","345"
"23","Malerkotla","3967","1","3790","176"
"","Total","758488","356","740411","17721"
