"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109750","28","107444","2278"
"2","SAS Nagar","95665","27","94490","1148"
"3","Jalandhar","78261","25","76658","1578"
"4","Patiala","62018","16","60545","1457"
"5","Amritsar","59388","7","57699","1682"
"6","Bathinda","50850","7","49755","1088"
"7","Hoshiarpur","40819","18","39705","1096"
"8","Gurdaspur","26932","9","26060","863"
"9","Pathankot","24522","26","24001","495"
"10","Fazilka","23377","16","22816","545"
"11","Muktsar","22546","7","22001","538"
"12","Kapurthala","22023","11","21433","579"
"13","Ropar","17933","3","17475","455"
"14","Ferozepur","17893","4","17352","537"
"15","Mansa","17228","2","16834","392"
"16","Faridkot","16744","17","16389","338"
"17","Sangrur","14307","1","13571","735"
"18","SBS Nagar","13393","4","12982","407"
"19","FG Sahib","11832","2","11476","354"
"20","Moga","10983","4","10725","254"
"21","Tarn Taran","10893","12","10487","394"
"22","Barnala","7492","6","7138","348"
"23","Malerkotla","3967","1","3790","176"
"","Total","758816","253","740826","17737"
