"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","9,890"
"2","Number of persons tested positive today in Tamil Nadu","811"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE - 1"
"","Total","812"
"3","Total Number of persons tested positive till date","27,13,216"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,02,154/ 
5,24,41,469@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,01,845/ 
5,15,14,111"
"6","No. of Male / Female / Transgender tested positive today","480/332/0"
"7","No. of Male / Female / Transgender tested positive till date","15,83,565/11,29,613/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","308 (69 Govt+ 
239 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","927/ 
26,67,067"
"10","Total number of deaths today/ till date","8(2 Private &  
6 Govt) /36,259)"
