"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","62,767"
"2","Number of persons tested positive today in Tamil Nadu","13,958"
"","Passengers returned from other countries  by 
International airport tested positive today","Sri Lanka - 2 
UAE - 2"
"","Passengers returned from other Countries/ states by 
Road tested positive today","Bangladesh - 9 
West Bengal - 8 
Assam - 3 
Kerala - 2 
Andhra Pradesh - 2 
Chhattisgarh - 1 
Karnataka - 1 
Bihar - 1 
Jharkhand - 1"
"","Total","13,990"
"3","Total Number of persons tested positive till date","28,14,276"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,35,266/ 
5,86,62,798@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,34,417/ 
5,77,19,579"
"6","No. of Male / Female / Transgender tested positive today","8,307/5,683/0"
"7","No. of Male / Female / Transgender tested positive till date","16,42,998/11,71,240/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","321 (69 Govt+ 
252 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","2,547/ 
27,14,643"
"10","Total number of deaths today/ till date","11(3 Private &  
8 Govt) /36,866"
